TimeStamp;LostFrames;noAudioPlayed;avgInterAudioPlayedDelay;NetReadOperations;NetReadBytes;NetReadAvgDelay;noAudioLost;noAudioLate;NoRTPPkts;AvgRTPInterPktDelay;LostRTPPkts;AvgRTPJitter;DispFrames;AvgInterDispDelay
1481833814;0;41;0.023998975753799997;165;73016;0.00525081807917;0;0;0;0;0;0;24;0.0417087972164
1481833815;0;42;0.0239999294281;235;106680;0.0047942465924200005;0;0;0;0;0;0;24;0.0417083303134
1481833817;0;41;0.023999906167799998;146;71792;0.006839254131060001;0;0;0;0;0;0;24;0.0417102078597
1481833818;0;42;0.0240004516783;113;49240;0.008679202172610001;0;0;0;0;0;0;24;0.0417108734449
1481833819;0;42;0.0239997875123;166;84096;0.0063733623688500005;0;0;0;0;0;0;24;0.041706293821300006
1481833820;0;41;0.0239999992091;112;57072;0.00858865891184;0;0;0;0;0;0;24;0.041710535685199994
1481833822;0;42;0.023999884015;192;100504;0.00558426479499;0;0;0;0;0;0;24;0.0417102078597
1481833824;0;38;0.023999866686400004;113;58272;0.008977725442530001;0;0;0;0;0;0;24;0.041710535685199994
1481833825;0;37;0.027461786527900003;165;77112;0.00565431479252;0;0;0;0;0;0;24;0.0417065819105
1481833826;0;26;0.0386383808576;126;59488;0.00823552457113;0;0;0;0;0;0;24;0.0417104164759
1481833827;0;32;0.032399751246;152;69752;0.00660824305133;0;0;0;0;0;0;24;0.0417081316312
1481833828;0;21;0.0371760981424;123;61536;0.00811130050721;0;0;0;0;0;0;24;0.0417083700498
1481833829;0;37;0.0314925619074;139;72872;0.0071542880518;0;0;0;0;0;0;24;0.0417069196701
1481833830;0;48;0.022281105319699998;341;181456;0.0030398942158699994;0;0;0;0;0;0;24;0.0417097508907
1481833832;0;37;0.025296836286;273;113696;0.0037371614477100003;0;0;0;0;0;0;24;0.0417094131311
1481833834;0;0;0.0;207;100512;0.00495056023344;0;0;0;0;0;0;13;0.07598169033339999
1481833837;0;0;0.0;126;73824;0.00671090398516;0;0;0;0;0;0;13;0.07606269763069999
1481833838;0;0;0.0;208;104608;0.005880596546029999;0;0;0;0;0;0;13;0.0760933069082
1481833839;0;108;0.0617530279689;181;86160;0.00504453537872;0;0;0;0;0;0;3;0.0761606693268
1481833840;0;42;0.023999713716099998;171;83406;0.00580606404801;0;0;0;0;0;0;17;0.106182645349
1481833841;0;41;0.0240003190389;213;121616;0.00507013226899;0;0;0;0;0;0;24;0.0417097508907
1481833842;0;42;0.024000094050500003;182;89208;0.00487921919141;0;0;0;0;0;0;24;0.0417101681232
1481833844;0;41;0.0240004411558;201;97320;0.005255740673390001;0;0;0;0;0;0;24;0.0417055487633
1481833845;0;42;0.023998447826900002;154;81088;0.0066977599998600005;0;0;0;0;0;0;24;0.0417100389798
1481833847;0;41;0.0240018774823;192;105408;0.00575024013718;0;0;0;0;0;0;24;0.0417098701
1481833848;0;42;0.023999452590900004;153;72992;0.005961645662399999;0;0;0;0;0;0;23;0.0417086559793
1481833849;0;42;0.024000116757;164;89192;0.00599881207071;0;0;0;0;0;0;24;0.0417080024878
1481833853;0;41;0.0239999526884;191;97312;0.0056542563812899994;0;0;0;0;0;0;24;0.0417067507903
1481833854;0;42;0.0240007128034;153;72992;0.00627513804467;0;0;0;0;0;0;24;0.0417099197706
1481833855;0;42;0.0239997591291;153;72992;0.006587168749640001;0;0;0;0;0;0;24;0.041706204414400004
1481833856;0;41;0.023999464221099998;193;105408;0.00522285545428;0;0;0;0;0;0;24;0.0417088369528
1481833858;0;42;0.0239983115877;163;81096;0.0061841844781;0;0;0;0;0;0;24;0.0417079130809
1481833862;0;41;0.0240000050242;203;113512;0.00508361027159;0;0;0;0;0;0;24;0.0417089958986
1481833863;0;42;0.0240011669341;192;97312;0.00475060443083;0;0;0;0;0;0;24;0.041706840197199994
1481833864;0;42;0.0240001394635;191;89216;0.005025911081520001;0;0;0;0;0;0;24;0.041709125042
1481833866;0;42;0.024001672154399998;211;105424;0.00466330356508;0;0;0;0;0;0;24;0.0417071282864
1481833867;0;42;0.0239987827483;164;89192;0.0065849874077799995;0;0;0;0;0;0;24;0.0417102972666
1481833868;0;41;0.024000586533;165;97288;0.00683575110002;0;0;0;0;0;0;24;0.0417072872321
1481833869;0;42;0.023999498004;173;89200;0.00554994213788;0;0;0;0;0;0;24;0.0417092045148
1481833870;0;42;0.0240014280592;174;97296;0.00579273563692;0;0;0;0;0;0;24;0.041707833608
1481833871;0;41;0.023998120935999998;164;89192;0.00614678132825;0;0;0;0;0;0;24;0.0417089660962
1481833872;0;42;0.0240011953172;183;97304;0.0049833652100299995;0;0;0;0;0;0;24;0.04170804222419999
1481833873;0;42;0.024000497091399998;231;121632;0.00467558030958;0;0;0;0;0;0;24;0.0417085786661
1481833874;0;41;0.023998876897299997;126;72968;0.006475912200080001;0;0;0;0;0;0;24;0.041709293921800006
1481833875;0;42;0.023999594506799997;154;81088;0.00732448813203;0;0;0;0;0;0;24;0.041708876689300005
1481833876;0;42;0.0240011669341;223;137816;0.00473475349324;0;0;0;0;0;0;24;0.0417064527671
1481833878;0;42;0.024000570887599996;306;145984;0.0036850684608499998;0;0;0;0;0;0;24;0.041709333658199996
1481833880;0;41;0.0239992665081;238;129734;0.00423542792056;0;0;0;0;0;0;24;0.041707038879400006
1481833881;0;42;0.023999691009499998;204;121608;0.00470585332197;0;0;0;0;0;0;24;0.0417098402977
1481833883;0;41;0.0239990978706;212;113520;0.004869292367180001;0;0;0;0;0;0;24;0.04171012838680001
1481833884;0;42;0.0240002586728;134;72976;0.00752245490231;0;0;0;0;0;0;24;0.041709164778400004
1481833887;0;42;0.024000951222;212;113520;0.00486806091273;0;0;0;0;0;0;24;0.0417083700498
1481833888;0;42;0.023998833838;307;154080;0.0031274133862399995;0;0;0;0;0;0;24;0.0417042970657
1481833891;0;42;0.023999214172400002;262;145944;0.00384693109352;0;0;0;0;0;0;24;0.0417058368524
1481833892;0;41;0.0239998770923;241;129736;0.00418233277887;0;0;0;0;0;0;24;0.0417083700498
1481833893;0;42;0.024001286143299997;182;89208;0.00514301624927;0;0;0;0;0;0;24;0.041711419820800004
1481833894;0;42;0.0240000259309;162;73000;0.0054826044742;0;0;0;0;0;0;24;0.0417105853558
